식재료명,식품분류,식품이미지URL,음식이미지URL
메밀,곡류 및 그 제품,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_072.jpg
메추리알,난류,,
멜론,과일류,,
멥쌀,곡류 및 그 제품,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_022.jpg
멸치,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1811-0/978-89-480-1811-0_A_057.jpg
명태,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-3061-7/978-89-480-3061-7_A_051.jpg
모과,과일류,,
목이버섯,버섯류,,
무,채소류,,
무청,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_091.jpg,
무화과,과일류,,
문어,어패류 및 기타 수산물,,
물엿,당류,,
미꾸리,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0773-2/978-89-480-0773-2_A_086.jpg
미나리,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_096.jpg
미더덕,어패류 및 기타 수산물,,
미역,해조류,,
민어,어패류 및 기타 수산물,,
밀,곡류 및 그 제품,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_104.jpg
바나나,과일류,,
바지락,어패류 및 기타 수산물,,
바질,채소류,,
밤,견과 및 종실류,,
배,과일류,,
배추,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0771-8/978-89-480-0771-8_A_058.jpg
밴댕이,어패류 및 기타 수산물,,
뱅어,어패류 및 기타 수산물,,
버찌,과일류,,
버터,유지류,,
베이컨,육류,,
병어,어패류 및 기타 수산물,,
보리,곡류 및 그 제품,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1201-9/978-89-480-1201-9_A_023.jpg
복분자,과일류,,
복숭아,과일류,,
복어,어패류 및 기타 수산물,,
볼락,어패류 및 기타 수산물,,
부추,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_084.jpg,
붕어,어패류 및 기타 수산물,,
브라질너트,견과 및 종실류,,
브로콜리,채소류,,
블랙베리,과일류,,
블랙커런트,과일류,,
블루베리,과일류,,
비름,채소류,,
비지,두류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1254-5/978-89-480-1254-5_A_013.jpg
빵,곡류 및 그 제품,,
사과,과일류,,
살구,과일류,,
삼채,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5631-0/978-89-480-5631-0_A_41.jpg
삼치,어패류 및 기타 수산물,,
상추,채소류,,
새우,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_075.jpg
샐러드 드레싱,조미료류,,
생강,채소류,,
서대,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_074.jpg
석류,과일류,,
성게,어패류 및 기타 수산물,,
셀러리,채소류,,
셔벗,우유류 및 유제품,,
소고기,육류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5731-7/978-89-480-5731-7_A_035.jpg
소금,조미료류,,
소라,어패류 및 기타 수산물,,
소시지,육류,,
송어,어패류 및 기타 수산물,,
송이버섯,버섯류,,
수박,과일류,,
수수,곡류 및 그 제품,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_079.jpg,
숙주나물,채소류,,
숭어,어패류 및 기타 수산물,,
스파게티 소스,조미료류,,
스파게티면,곡류 및 그 제품,,
스프,조리가공식품류,,
시금치,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_115.jpg,
시리얼,곡류 및 그 제품,,
식초,조미료류,,
쌈장,조미료류,,
쏘가리,어패류 및 기타 수산물,,
쏨뱅이,어패류 및 기타 수산물,,
쑥,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_019.jpg,
쑥갓,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_047.jpg,
아귀,어패류 및 기타 수산물,,
아몬드,견과 및 종실류,,
아보카도,과일류,,
아스파라거스,채소류,,
아욱,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_065.jpg,
양배추,채소류,,
양송이버섯,버섯류,,
양파,채소류,,
어묵,어패류 및 기타 수산물,,
연근,채소류,,
열무,채소류,,
오디,과일류,,
오렌지,과일류,,
오리고기,육류,,
오미자,과일류,,
오이,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_052.jpg
오이지,채소류,,
오징어,어패류 및 기타 수산물,,
옥수수,곡류 및 그 제품,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_061.jpg,
올리브유,유지류,,
완두,두류,,
요구르트,우유류 및 유제품,,
용과,과일류,,
우동면,곡류 및 그 제품,,
우엉,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_093.jpg,
