식재료명,식품분류,식품이미지URL,음식이미지URL,new_image_url
김치,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_053.jpg,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5631-0/978-89-480-5631-0_A_50.jpg,https://img.lovepik.com/photo/20211126/medium/lovepik-spicy-cabbage-picture_501092568.jpg
까나리,어패류 및 기타 수산물,,,https://img1.tmon.kr/cdn4/deals/2024/06/23/27099779426/front_b8e29_ixqf4.jpg
꼬막,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_040.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_C1D9867B64C29FA7368CF8F5AD326CC8.jpg
꼬막,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_EB3C5A643FB5274AA5EEBF108F05E25B.jpg
꼴뚜기,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_6E15E8F93A11D0E4B8E4D892A26B434E.jpg
꽁치,어패류 및 기타 수산물,,,https://i.pinimg.com/736x/07/13/1e/07131ef42e689643c859e980b4582f28.jpg
콜리플라워,채소류,,,https://cdn.pixabay.com/photo/2021/01/20/18/17/cauliflower-5935206_640.jpg
꿀,당류,,,https://watermark.lovepik.com/photo/50118/4796.jpg_wh1200.jpg
낙지,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_049.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_6DCC80D75B8D1C6BFF7A5DBC8C86F85C.jpeg
냉이,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_007.jpg,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A2CAA746B75AB2446FC58CCF0C502A25.jpg
광어,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_89E19BD6C7EB1873A337CAE75B84D0A7.jpg
